,name,year,runtime,certificate,genre,rating,url,movie_id,nudity,nudity_none,nudity_mild,nudity_moderate,nudity_severe,violence,violence_none,violence_mild,violence_moderate,violence_severe,profanity,profanity_none,profanity_mild,profanity_moderate,profanity_severe,alcohol,alcohol_none,alcohol_mild,alcohol_moderate,alcohol_severe,frightening,frightening_none,frightening_mild,frightening_moderate,frightening_severe
0,Pulp Fiction,(1994),154 min,R,"Crime, Drama",8.9,http://www.imdb.com/title/tt0110912/,tt0110912,Moderate,0,4,16,5,Severe,0,0,9,19,Severe,0,0,2,25,Severe,0,0,2,22,Severe,0,3,5,15
1,The Amazing Spider-Man 2,(2014),142 min,PG-13,"Action, Adventure, Sci-Fi",6.7,http://www.imdb.com/title/tt1872181/,tt1872181,Mild,0,1,0,0,Moderate,0,0,2,0,Be the first to evaluate this category,0,0,0,0,Mild,0,2,0,0,Moderate,0,0,2,0
2,The Shawshank Redemption,(1994),142 min,R,"Crime, Drama",9.3,http://www.imdb.com/title/tt0111161/,tt0111161,Moderate,1,3,9,0,Moderate,0,2,7,0,Severe,0,0,4,7,Mild,0,9,0,0,Moderate,1,2,5,1
3,Star Wars: Episode IV - A New Hope,(1977),121 min,PG,"Action, Adventure, Fantasy",8.7,http://www.imdb.com/title/tt0076759/,tt0076759,None,13,1,0,0,Mild,0,9,5,0,Mild,6,8,0,0,Mild,2,11,0,0,Mild,0,11,3,0
4,Back to the Future,(1985),116 min,PG,"Adventure, Comedy, Sci-Fi",8.5,http://www.imdb.com/title/tt0088763/,tt0088763,Mild,0,5,1,0,Mild,0,4,0,0,Mild,0,4,2,0,Mild,0,5,0,0,Mild,0,5,0,0
5,The Breakfast Club,(1985),97 min,R,"Comedy, Drama",7.9,http://www.imdb.com/title/tt0088847/,tt0088847,Moderate,0,1,3,0,Mild,0,5,0,0,Severe,0,0,1,4,Moderate,0,1,3,0,None,6,0,0,0
6,The Goonies,(1985),114 min,PG,"Adventure, Comedy, Family",7.8,http://www.imdb.com/title/tt0089218/,tt0089218,Moderate,0,3,4,0,Moderate,0,1,3,1,Moderate,0,2,2,1,Mild,1,3,1,0,Moderate,0,0,3,2
7,The Silence of the Lambs,(1991),118 min,R,"Crime, Drama, Thriller",8.6,http://www.imdb.com/title/tt0102926/,tt0102926,Moderate,0,0,6,1,Severe,0,0,1,7,Moderate,0,0,5,2,Mild,0,5,0,0,Severe,0,0,1,8
8,Jurassic Park,(1993),127 min,PG-13,"Adventure, Sci-Fi, Thriller",8.1,http://www.imdb.com/title/tt0107290/,tt0107290,Mild,3,3,0,0,Moderate,0,0,6,2,Mild,2,3,3,0,Mild,0,5,1,0,Moderate,0,0,6,2
9,The Lion King,(1994),88 min,G,"Animation, Adventure, Drama",8.5,http://www.imdb.com/title/tt0110357/,tt0110357,Mild,1,8,0,0,Mild,1,7,2,0,None,9,0,0,0,None,10,0,0,0,Moderate,0,5,6,0
10,Se7en,(1995),127 min,R,"Crime, Drama, Mystery",8.6,http://www.imdb.com/title/tt0114369/,tt0114369,Mild,0,13,4,0,Severe,0,0,2,13,Severe,0,0,1,12,Mild,0,12,0,0,Severe,0,0,0,14
11,Toy Story,(1995),81 min,G,"Animation, Adventure, Comedy",8.3,http://www.imdb.com/title/tt0114709/,tt0114709,Mild,1,1,0,0,Mild,0,1,0,0,Mild,0,2,0,0,Mild,1,1,0,1,Moderate,0,2,1,1
12,The Big Lebowski,(1998),117 min,R,"Comedy, Crime",8.2,http://www.imdb.com/title/tt0118715/,tt0118715,Moderate,0,2,4,1,Moderate,0,0,5,0,Severe,0,0,0,6,Moderate,0,0,4,1,Mild,0,4,1,0
13,Saving Private Ryan,(1998),169 min,R,"Drama, War",8.6,http://www.imdb.com/title/tt0120815/,tt0120815,Mild,2,11,0,0,Severe,0,0,0,14,Moderate,0,0,9,4,Mild,3,8,0,0,Severe,0,0,0,14
14,Fight Club,(1999),139 min,R,Drama,8.8,http://www.imdb.com/title/tt0137523/,tt0137523,Severe,0,0,7,13,Severe,0,1,2,22,Severe,0,0,9,13,Mild,0,15,4,0,Severe,0,1,3,16
15,The Matrix,(1999),136 min,R,"Action, Sci-Fi",8.7,http://www.imdb.com/title/tt0133093/,tt0133093,Mild,4,11,0,0,Moderate,0,4,10,4,Moderate,0,5,11,0,Mild,2,12,1,0,Moderate,1,1,10,1
16,Star Wars: Episode I - The Phantom Menace,(1999),136 min,PG,"Action, Adventure, Fantasy",6.5,http://www.imdb.com/title/tt0120915/,tt0120915,None,7,0,2,0,Moderate,0,2,4,0,None,4,1,0,0,None,6,0,0,0,Moderate,0,3,3,0
17,Gladiator,(2000),155 min,R,"Action, Adventure, Drama",8.5,http://www.imdb.com/title/tt0172495/,tt0172495,Mild,1,3,2,0,Severe,0,0,1,4,Mild,0,4,0,0,Mild,1,2,0,0,Severe,0,0,0,4
18,X-Men,(2000),104 min,PG-13,"Action, Adventure, Sci-Fi",7.4,http://www.imdb.com/title/tt0120903/,tt0120903,Moderate,0,1,1,0,Moderate,0,0,1,0,Moderate,0,1,1,0,Mild,0,1,0,0,Severe,0,0,1,1
19,Harry Potter and the Sorcerer's Stone,(2001),152 min,PG,"Adventure, Family, Fantasy",7.6,http://www.imdb.com/title/tt0241527/,tt0241527,None,3,0,0,0,Moderate,0,1,3,0,Mild,0,4,3,0,Mild,2,4,0,0,Moderate,0,1,4,1
20,The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,PG-13,"Adventure, Drama, Fantasy",8.8,http://www.imdb.com/title/tt0120737/,tt0120737,None,5,0,0,0,Moderate,0,0,6,1,None,6,1,0,0,Mild,0,4,1,0,Moderate,0,0,7,0
21,The Lord of the Rings: The Two Towers,(2002),179 min,PG-13,"Adventure, Drama, Fantasy",8.7,http://www.imdb.com/title/tt0167261/,tt0167261,None,3,0,0,0,Moderate,0,0,6,0,None,4,0,0,0,Mild,1,3,0,0,Moderate,0,0,4,0
22,xXx,(2002),124 min,PG-13,"Action, Adventure, Thriller",5.8,http://www.imdb.com/title/tt0295701/,tt0295701,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
23,Finding Nemo,(2003),100 min,G,"Animation, Adventure, Comedy",8.1,http://www.imdb.com/title/tt0266543/,tt0266543,None,3,0,0,1,Mild,0,3,0,1,None,3,1,0,1,None,3,1,0,1,Moderate,0,2,2,1
24,The Lord of the Rings: The Return of the King,(2003),201 min,PG-13,"Adventure, Drama, Fantasy",8.9,http://www.imdb.com/title/tt0167260/,tt0167260,None,11,0,0,0,Moderate,0,0,9,4,None,11,0,0,0,Mild,0,10,0,0,Moderate,0,1,8,2
25,Anchorman: The Legend of Ron Burgundy,(2004),94 min,PG-13,Comedy,7.2,http://www.imdb.com/title/tt0357413/,tt0357413,Moderate,0,0,1,0,Moderate,0,0,1,0,Moderate,0,0,1,0,Mild,0,1,0,0,Mild,0,1,0,0
26,Mean Girls,(2004),97 min,PG-13,Comedy,7,http://www.imdb.com/title/tt0377092/,tt0377092,Moderate,0,1,3,0,Mild,0,4,0,0,Moderate,0,1,3,0,Mild,0,3,0,0,Mild,0,3,0,0
27,Sin City,(2005),124 min,R,"Crime, Thriller",8,http://www.imdb.com/title/tt0401792/,tt0401792,Moderate,0,1,3,0,Severe,0,0,0,3,Moderate,0,0,1,0,Moderate,0,0,1,0,Severe,0,0,0,1
28,Star Wars: Episode III - Revenge of the Sith,(2005),140 min,PG-13,"Action, Adventure, Fantasy",7.6,http://www.imdb.com/title/tt0121766/,tt0121766,Mild,0,3,0,0,Moderate,0,0,5,1,None,4,0,0,0,None,4,0,0,0,Moderate,0,0,4,1
29,Batman Begins,(2005),140 min,PG-13,"Action, Adventure, Thriller",8.3,http://www.imdb.com/title/tt0372784/,tt0372784,Mild,3,3,1,0,Moderate,0,0,5,0,Mild,0,5,0,0,Mild,0,4,0,0,Moderate,0,0,3,2
30,The Departed,(2006),151 min,R,"Crime, Drama, Thriller",8.5,http://www.imdb.com/title/tt0407887/,tt0407887,Moderate,0,1,6,0,Severe,0,0,2,6,Severe,1,0,0,9,Moderate,0,1,5,1,Severe,0,0,4,5
31,The Prestige,(2006),130 min,PG-13,"Drama, Mystery, Sci-Fi",8.5,http://www.imdb.com/title/tt0482571/,tt0482571,Mild,0,5,0,0,Moderate,0,1,3,0,Mild,2,2,0,0,Mild,0,4,0,0,Moderate,0,0,4,0
32,V for Vendetta,(2005),132 min,R,"Action, Drama, Sci-Fi",8.2,http://www.imdb.com/title/tt0434409/,tt0434409,Mild,2,6,2,0,Severe,0,0,2,4,Severe,0,0,1,6,Mild,0,5,0,1,Severe,0,0,3,3
33,Casino Royale,(2006),144 min,PG-13,"Action, Adventure, Thriller",8,http://www.imdb.com/title/tt0381061/,tt0381061,Mild,0,1,0,0,Moderate,0,0,2,1,Moderate,0,1,1,0,Mild,0,1,0,0,Severe,0,0,1,1
34,Transformers,(2007),144 min,PG-13,"Action, Adventure, Sci-Fi",7.1,http://www.imdb.com/title/tt0418279/,tt0418279,Mild,0,1,0,0,Moderate,0,0,2,1,Moderate,0,0,2,0,Mild,0,2,0,0,Moderate,0,0,2,1
35,The Dark Knight,(2008),152 min,PG-13,"Action, Crime, Drama",9,http://www.imdb.com/title/tt0468569/,tt0468569,None,16,9,0,0,Moderate,0,2,18,6,Mild,0,20,2,0,Mild,1,17,0,0,Severe,0,1,10,16
36,Iron Man,(2008),126 min,PG-13,"Action, Adventure, Sci-Fi",7.9,http://www.imdb.com/title/tt0371746/,tt0371746,Mild,0,3,1,0,Moderate,0,0,2,0,Mild,0,5,0,0,Mild,0,4,0,0,Moderate,0,2,2,0
37,Quantum of Solace,(2008),106 min,PG-13,"Action, Adventure, Thriller",6.6,http://www.imdb.com/title/tt0830515/,tt0830515,Moderate,0,1,1,0,Severe,0,0,1,1,Moderate,0,1,1,0,Mild,0,1,0,0,Moderate,0,0,1,0
38,Tropic Thunder,(2008),107 min,R,"Action, Comedy",7,http://www.imdb.com/title/tt0942385/,tt0942385,Moderate,0,0,2,0,Severe,0,1,0,1,Moderate,0,1,1,1,Severe,0,0,0,1,Mild,0,1,0,0
39,G.I. Joe: The Rise of Cobra,(2009),118 min,PG-13,"Action, Adventure, Sci-Fi",5.8,http://www.imdb.com/title/tt1046173/,tt1046173,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
40,The Hangover,(2009),100 min,R,Comedy,7.7,http://www.imdb.com/title/tt1119646/,tt1119646,Severe,0,0,0,1,Moderate,0,0,1,0,Severe,0,0,0,1,Moderate,0,0,1,0,Severe,0,0,0,1
41,Inglourious Basterds,(2009),153 min,R,"Adventure, Drama, War",8.3,http://www.imdb.com/title/tt0361748/,tt0361748,Mild,0,10,4,0,Severe,0,1,0,11,Severe,0,0,4,8,Mild,0,10,0,0,Severe,0,0,1,9
42,Star Trek,(2009),127 min,PG-13,"Action, Adventure, Sci-Fi",8,http://www.imdb.com/title/tt0796366/,tt0796366,Mild,0,3,0,0,Moderate,0,0,2,0,Mild,0,2,0,0,Mild,0,2,0,0,Moderate,0,0,2,0
43,Taken,(I) (2008),93 min,PG-13,"Action, Crime, Thriller",7.8,http://www.imdb.com/title/tt0936501/,tt0936501,Moderate,0,0,2,1,Severe,0,0,2,2,Moderate,0,1,2,0,Moderate,0,0,2,1,Severe,0,0,1,1
44,Up,(2009),96 min,PG,"Animation, Adventure, Comedy",8.3,http://www.imdb.com/title/tt1049413/,tt1049413,None,1,0,0,0,Mild,0,1,0,0,Mild,1,1,0,0,Mild,0,1,0,0,Moderate,0,0,1,0
45,X-Men Origins: Wolverine,(2009),107 min,PG-13,"Action, Adventure, Sci-Fi",6.7,http://www.imdb.com/title/tt0458525/,tt0458525,Mild,0,1,0,0,Moderate,0,0,2,1,Moderate,0,1,1,0,Mild,0,1,0,0,Moderate,0,0,2,0
46,Zombieland,(2009),88 min,R,"Adventure, Comedy, Horror",7.7,http://www.imdb.com/title/tt1156398/,tt1156398,Mild,0,1,0,0,Severe,0,0,0,1,Moderate,0,0,1,0,Moderate,0,0,1,0,Moderate,0,0,1,0
47,2012,(I) (2009),158 min,PG-13,"Action, Adventure, Sci-Fi",5.8,http://www.imdb.com/title/tt1190080/,tt1190080,Mild,0,1,0,0,Severe,0,0,1,1,Moderate,0,0,1,0,Mild,0,1,0,0,Moderate,0,0,1,0
48,Avatar,(2009),162 min,PG-13,"Action, Adventure, Fantasy",7.8,http://www.imdb.com/title/tt0499549/,tt0499549,Moderate,1,2,3,2,Moderate,0,1,4,0,Moderate,0,2,3,0,Moderate,0,1,2,0,Moderate,0,1,2,0
49,Despicable Me,(2010),95 min,PG,"Animation, Adventure, Comedy",7.7,http://www.imdb.com/title/tt1323594/,tt1323594,None,1,0,0,0,Mild,0,1,0,0,Severe,1,0,0,1,None,1,0,0,0,None,1,0,0,0
50,Grown Ups,(I) (2010),102 min,PG-13,Comedy,6,http://www.imdb.com/title/tt1375670/,tt1375670,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
51,How to Train Your Dragon,(2010),98 min,PG,"Animation, Adventure, Comedy",8.1,http://www.imdb.com/title/tt0892769/,tt0892769,Mild,0,1,0,0,Severe,0,1,0,1,Mild,0,1,0,0,Mild,1,1,0,0,Severe,0,1,0,1
52,Inception,(2010),148 min,PG-13,"Action, Adventure, Sci-Fi",8.8,http://www.imdb.com/title/tt1375666/,tt1375666,None,6,0,0,0,Moderate,0,3,6,0,Mild,0,8,0,0,Mild,1,6,0,0,Moderate,0,1,5,0
53,Iron Man 2,(2010),124 min,PG-13,"Action, Adventure, Sci-Fi",7,http://www.imdb.com/title/tt1228705/,tt1228705,Mild,0,2,0,0,Moderate,0,1,1,0,Moderate,0,1,1,0,Mild,0,2,0,0,Moderate,0,1,1,0
54,Kick-Ass,(2010),117 min,R,"Action, Comedy",7.7,http://www.imdb.com/title/tt1250777/,tt1250777,Moderate,0,0,6,2,Severe,0,0,0,5,Severe,0,0,0,5,Moderate,0,1,3,0,Moderate,0,0,4,0
55,RED,(2010),111 min,PG-13,"Action, Comedy, Crime",7.1,http://www.imdb.com/title/tt1245526/,tt1245526,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
56,Shutter Island,(2010),138 min,R,"Mystery, Thriller",8.1,http://www.imdb.com/title/tt1130884/,tt1130884,Moderate,0,1,3,0,Severe,0,0,0,2,Moderate,0,1,2,0,Moderate,0,0,2,0,Severe,0,0,0,2
57,Tron,(2010),125 min,PG,"Action, Adventure, Sci-Fi",6.8,http://www.imdb.com/title/tt1104001/,tt1104001,None,1,0,0,0,Moderate,0,1,1,0,Mild,0,2,0,1,Mild,0,1,0,0,Moderate,0,0,1,0
58,Toy Story 3,(2010),103 min,G,"Animation, Adventure, Comedy",8.3,http://www.imdb.com/title/tt0435761/,tt0435761,Mild,0,3,0,1,Mild,0,3,1,0,Mild,1,2,0,0,None,2,0,0,0,Moderate,0,0,4,0
59,Drive,(I) (2011),100 min,R,"Crime, Drama",7.8,http://www.imdb.com/title/tt0780504/,tt0780504,Moderate,0,2,8,1,Severe,0,0,1,11,Moderate,0,0,7,2,Mild,0,7,2,0,Severe,0,0,1,9
60,Fast Five,(2011),130 min,PG-13,"Action, Crime, Thriller",7.3,http://www.imdb.com/title/tt1596343/,tt1596343,Mild,0,1,0,0,Severe,0,0,0,1,Moderate,0,0,1,0,Mild,0,1,0,0,Moderate,0,0,1,0
61,Harry Potter and the Deathly Hallows: Part 2,(2011),130 min,PG-13,"Adventure, Drama, Fantasy",8.1,http://www.imdb.com/title/tt1201607/,tt1201607,Mild,1,4,3,1,Moderate,0,1,6,3,Moderate,0,2,3,2,Mild,2,4,0,1,Moderate,0,1,6,5
62,Limitless,(I) (2011),105 min,PG-13,"Mystery, Sci-Fi, Thriller",7.4,http://www.imdb.com/title/tt1219289/,tt1219289,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
63,Pirates of the Caribbean: On Stranger Tides,(2011),136 min,PG-13,"Action, Adventure, Fantasy",6.6,http://www.imdb.com/title/tt1298650/,tt1298650,Mild,0,1,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
64,X: First Class,(2011),131 min,PG-13,"Action, Adventure, Sci-Fi",7.8,http://www.imdb.com/title/tt1270798/,tt1270798,Mild,0,2,0,0,Mild,0,2,0,1,Moderate,0,1,2,0,Mild,0,2,0,0,Moderate,0,1,1,0
65,The Girl with the Dragon Tattoo,(2011),158 min,R,"Crime, Drama, Mystery",7.8,http://www.imdb.com/title/tt1568346/,tt1568346,Severe,0,0,1,5,Severe,0,0,1,5,Moderate,0,0,6,0,Mild,0,6,0,0,Severe,0,0,1,5
66,The Help,(2011),146 min,PG-13,Drama,8.1,http://www.imdb.com/title/tt1454029/,tt1454029,Mild,1,1,0,0,Mild,0,1,0,0,Mild,0,1,0,0,Mild,0,1,0,0,Mild,0,1,0,0
67,In Time,(2011),109 min,PG-13,"Action, Sci-Fi, Thriller",6.7,http://www.imdb.com/title/tt1637688/,tt1637688,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
68,21 Jump Street,(2012),109 min,R,"Action, Comedy, Crime",7.2,http://www.imdb.com/title/tt1232829/,tt1232829,Moderate,0,1,4,0,Moderate,0,2,1,2,Severe,0,0,0,3,Moderate,0,0,3,1,Moderate,1,1,2,0
69,The Amazing Spider-Man,(2012),136 min,PG-13,"Action, Adventure, Sci-Fi",7,http://www.imdb.com/title/tt0948470/,tt0948470,Mild,1,2,0,0,Severe,0,1,1,2,Mild,1,2,0,0,Mild,1,2,0,0,Moderate,0,1,1,1
70,American Reunion,(2012),113 min,R,Comedy,6.7,http://www.imdb.com/title/tt1605630/,tt1605630,Severe,0,0,2,2,Mild,0,2,0,0,Severe,0,0,1,1,Moderate,0,0,2,0,None,2,0,0,0
71,The Avengers,(2012),143 min,PG-13,"Action, Adventure, Sci-Fi",8.1,http://www.imdb.com/title/tt0848228/,tt0848228,None,4,3,0,0,Moderate,0,1,4,0,Mild,0,4,2,0,Mild,0,6,0,0,Moderate,0,2,3,0
72,Battleship,(2012),131 min,PG-13,"Action, Adventure, Sci-Fi",5.8,http://www.imdb.com/title/tt1440129/,tt1440129,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
73,The Bourne Legacy,(2012),135 min,PG-13,"Action, Adventure, Mystery",6.7,http://www.imdb.com/title/tt1194173/,tt1194173,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
74,Brave,(2012),93 min,PG,"Animation, Adventure, Comedy",7.2,http://www.imdb.com/title/tt1217209/,tt1217209,Mild,0,1,0,0,Moderate,0,0,1,0,None,1,0,0,0,Mild,0,1,0,0,Moderate,0,0,1,0
75,The Cabin in the Woods,(2012),95 min,R,Horror,7,http://www.imdb.com/title/tt1259521/,tt1259521,Severe,0,0,2,3,Severe,0,0,0,3,Severe,0,0,0,3,Moderate,0,0,3,0,Severe,0,0,0,3
76,The Campaign,(2012),85 min,R,Comedy,6.1,http://www.imdb.com/title/tt1790886/,tt1790886,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
77,Cloud Atlas,(2012),172 min,R,"Action, Drama, Mystery",7.5,http://www.imdb.com/title/tt1371111/,tt1371111,Severe,0,0,1,1,Moderate,0,0,1,0,Mild,0,1,0,0,Severe,1,0,0,1,Severe,0,0,0,1
78,The Dark Knight Rises,(2012),164 min,PG-13,"Action, Thriller",8.4,http://www.imdb.com/title/tt1345836/,tt1345836,Mild,3,5,0,0,Moderate,0,0,5,2,Mild,0,4,1,0,Mild,0,4,0,0,Moderate,0,0,5,1
79,Dark Shadows,(2012),113 min,PG-13,"Comedy, Fantasy, Horror",6.2,http://www.imdb.com/title/tt1077368/,tt1077368,Moderate,0,0,1,0,Moderate,0,0,1,0,Mild,0,1,0,0,Mild,0,1,0,0,Moderate,0,0,1,0
80,Django Unchained,(2012),165 min,R,"Drama, Western",8.4,http://www.imdb.com/title/tt1853728/,tt1853728,Moderate,0,5,10,4,Severe,0,1,1,19,Severe,0,0,1,16,Mild,0,15,0,0,Severe,0,1,7,9
81,Dredd,(2012),95 min,R,"Action, Crime, Sci-Fi",7.1,http://www.imdb.com/title/tt1343727/,tt1343727,Moderate,0,1,1,0,Severe,0,0,0,2,Severe,0,0,1,1,Moderate,0,0,2,0,Severe,0,1,0,1
82,End of Watch,(2012),109 min,R,"Action, Crime, Drama",7.7,http://www.imdb.com/title/tt1855199/,tt1855199,Mild,0,1,0,0,Severe,0,0,0,1,Severe,0,0,0,1,Moderate,0,0,1,0,Severe,0,0,0,1
83,The Expendables 2,(2012),103 min,R,"Action, Adventure, Thriller",6.6,http://www.imdb.com/title/tt1764651/,tt1764651,Mild,1,1,0,0,Severe,0,0,1,2,Moderate,0,0,3,0,Mild,0,3,0,0,Mild,0,2,1,0
84,Flight,(I) (2012),138 min,R,"Drama, Thriller",7.3,http://www.imdb.com/title/tt1907668/,tt1907668,Severe,1,0,0,2,Moderate,0,0,1,0,Severe,0,0,0,1,Severe,0,0,0,1,Moderate,0,0,1,0
85,The Guilt Trip,(2012),95 min,PG-13,"Comedy, Drama",5.8,http://www.imdb.com/title/tt1694020/,tt1694020,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
86,Here Comes the Boom,(2012),105 min,PG,"Action, Comedy, Sport",6.4,http://www.imdb.com/title/tt1648179/,tt1648179,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
87,The Hobbit: An Unexpected Journey,(2012),169 min,PG-13,"Adventure, Family, Fantasy",7.9,http://www.imdb.com/title/tt0903624/,tt0903624,None,1,0,0,0,Moderate,0,0,2,0,Mild,0,1,0,0,Mild,1,1,0,0,Moderate,0,0,1,0
88,Hotel Transylvania,(2012),91 min,PG,"Animation, Comedy, Family",7.1,http://www.imdb.com/title/tt0837562/,tt0837562,Mild,0,2,0,1,Severe,0,0,1,1,Severe,0,1,0,1,Severe,1,0,0,1,Severe,0,0,1,1
89,Jack Reacher,(2012),130 min,PG-13,"Action, Crime, Mystery",7,http://www.imdb.com/title/tt0790724/,tt0790724,Moderate,0,1,1,0,Severe,0,0,0,1,Moderate,0,0,1,0,Moderate,0,0,1,0,Severe,0,0,0,1
90,John Carter,(2012),132 min,PG-13,"Action, Adventure, Sci-Fi",6.6,http://www.imdb.com/title/tt0401729/,tt0401729,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
91,Killing Them Softly,(2012),97 min,R,"Crime, Thriller",6.2,http://www.imdb.com/title/tt1764234/,tt1764234,Mild,0,1,0,0,Severe,0,0,0,1,Severe,0,0,0,1,Moderate,0,0,1,0,Moderate,0,0,1,0
92,Lawless,(2012),116 min,R,"Crime, Drama",7.3,http://www.imdb.com/title/tt1212450/,tt1212450,Severe,0,0,0,1,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
93,Life of Pi,(2012),127 min,PG,"Adventure, Drama, Fantasy",7.9,http://www.imdb.com/title/tt0454876/,tt0454876,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
94,Looper,(2012),113 min,R,"Action, Crime, Drama",7.4,http://www.imdb.com/title/tt1276104/,tt1276104,Moderate,0,1,1,0,Moderate,0,0,1,0,Moderate,0,0,1,0,Moderate,0,0,1,0,Moderate,0,0,1,0
95,Magic Mike,(2012),110 min,R,"Comedy, Drama",6.1,http://www.imdb.com/title/tt1915581/,tt1915581,Severe,0,0,0,2,Moderate,0,0,1,0,Severe,0,0,0,2,Severe,0,0,0,1,Be the first to evaluate this category,0,0,0,0
96,Man on a Ledge,(2012),102 min,PG-13,"Action, Adventure, Crime",6.6,http://www.imdb.com/title/tt1568338/,tt1568338,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
97,The Man with the Iron Fists,(2012),95 min,R,Action,5.4,http://www.imdb.com/title/tt1258972/,tt1258972,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
98,The Master,(2012),138 min,R,Drama,7.1,http://www.imdb.com/title/tt1560747/,tt1560747,Severe,0,0,1,1,Moderate,0,1,2,0,Severe,0,0,1,1,Moderate,0,0,2,0,Moderate,1,0,1,0
99,Men in Black 3,(2012),106 min,PG-13,"Action, Adventure, Comedy",6.8,http://www.imdb.com/title/tt1409024/,tt1409024,Moderate,0,1,1,0,Severe,0,0,1,1,Moderate,0,0,2,0,Mild,0,2,0,0,Severe,0,0,1,1
100,Parental Guidance,(2012),105 min,PG,"Comedy, Family",6.1,http://www.imdb.com/title/tt1047540/,tt1047540,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
101,Project X,(2012),88 min,R,"Comedy, Drama",6.7,http://www.imdb.com/title/tt1636826/,tt1636826,Severe,0,0,0,1,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
102,Prometheus,(I) (2012),124 min,R,"Adventure, Mystery, Sci-Fi",7,http://www.imdb.com/title/tt1446714/,tt1446714,Mild,2,6,1,0,Severe,0,0,2,5,Moderate,0,0,8,1,Mild,0,6,0,0,Severe,0,0,3,4
103,Red Dawn,(2012),93 min,PG-13,"Action, Sci-Fi, Thriller",5.4,http://www.imdb.com/title/tt1234719/,tt1234719,None,1,0,0,0,Severe,0,0,0,1,Moderate,0,0,1,0,None,1,0,0,0,Severe,0,0,0,1
