,name,year,runtime,certificate,genre,rating,url
5522,Trust,(1990),107 min,R,"Comedy, Drama",7.5,http://www.imdb.com/title/tt0103130/
5523,Longtime Companion,(1989),96 min,R,"Drama, Romance",7.5,http://www.imdb.com/title/tt0100049/
5524,Nemesis,(1992),95 min,R,"Action, Sci-Fi, Thriller",5.6,http://www.imdb.com/title/tt0107668/
5525,The Reflecting Skin,(1990),96 min,R,"Drama, Horror, Thriller",7,http://www.imdb.com/title/tt0100469/
5526,The Comfort of Strangers,(1990),107 min,R,"Drama, Thriller",6.4,http://www.imdb.com/title/tt0099292/
5527,Music Box,(1989),124 min,PG-13,"Crime, Drama, Thriller",7.3,http://www.imdb.com/title/tt0100211/
5528,Side Out,(1990),100 min,PG-13,"Comedy, Drama, Romance",5.5,http://www.imdb.com/title/tt0100613/
5529,The Hitman,(1991),95 min,R,"Action, Crime, Thriller",5.4,http://www.imdb.com/title/tt0102045/
5530,Wedlock,(1991),101 min,R,"Action, Crime, Drama",5.9,http://www.imdb.com/title/tt0103239/
5531,A Shock to the System,(1990),88 min,R,"Comedy, Crime, Thriller",6.8,http://www.imdb.com/title/tt0100602/
5532,Waxwork II: Lost in Time,(1992),104 min,R,"Comedy, Fantasy, Horror",5.5,http://www.imdb.com/title/tt0105792/
5533,Prospero's Books,(1991),124 min,R,"Drama, Fantasy",6.9,http://www.imdb.com/title/tt0102722/
5534,She's Gotta Have It,(1986),84 min,R,"Comedy, Romance",6.6,http://www.imdb.com/title/tt0091939/
5535,"Rita, Sue and Bob Too",(1987),93 min,R,"Comedy, Drama",6.4,http://www.imdb.com/title/tt0091859/
5536,Ghoulies,(1984),81 min,PG-13,"Comedy, Fantasy, Horror",4,http://www.imdb.com/title/tt0089200/
5537,Watchers,(1988),91 min,R,"Action, Horror, Sci-Fi",5.3,http://www.imdb.com/title/tt0096425/
5538,No Man's Land,(1987),106 min,R,"Crime, Drama, Thriller",6.1,http://www.imdb.com/title/tt0093638/
5539,Chopping Mall,(1986),77 min,R,"Comedy, Horror, Sci-Fi",5.6,http://www.imdb.com/title/tt0090837/
5540,Slugs,(1988),89 min,R,Horror,5,http://www.imdb.com/title/tt0093995/
5541,White Water Summer,(1987),90 min,PG,"Adventure, Drama",6.2,http://www.imdb.com/title/tt0094318/
5542,Miracle Mile,(1988),87 min,R,"Action, Drama, Romance",7,http://www.imdb.com/title/tt0097889/
5543,Class of Nuke 'Em High,(1986),85 min,R,"Comedy, Horror, Sci-Fi",5.7,http://www.imdb.com/title/tt0090849/
5544,The Boys Next Door,(1985),91 min,R,"Crime, Drama, Thriller",6.5,http://www.imdb.com/title/tt0090770/
5545,American Ninja 2: The Confrontation,(1987),90 min,R,"Action, Drama",4.8,http://www.imdb.com/title/tt0092548/
5546,Demons 2,(1986),88 min,R,Horror,6,http://www.imdb.com/title/tt0090930/
5547,Daffy Duck's Quackbusters,(1988),72 min,G,"Animation, Comedy, Family",7.2,http://www.imdb.com/title/tt0094939/
5548,Razorback,(1984),95 min,R,"Horror, Thriller",6,http://www.imdb.com/title/tt0087981/
5549,The Hit,(1984),98 min,R,"Crime, Drama, Thriller",7.1,http://www.imdb.com/title/tt0087414/
5550,Steel Dawn,(1987),100 min,R,"Action, Adventure, Sci-Fi",5,http://www.imdb.com/title/tt0094033/
5551,The Chocolate War,(1988),100 min,R,Drama,6.9,http://www.imdb.com/title/tt0094869/
5552,Siesta,(1987),97 min,R,"Drama, Mystery, Romance",5.6,http://www.imdb.com/title/tt0093969/
