,name,year,runtime,certificate,genre,rating,url
0,Pulp Fiction,(1994),154 min,R,"Crime, Drama",8.9,http://www.imdb.com/title/tt0110912/
1,The Amazing Spider-Man 2,(2014),142 min,PG-13,"Action, Adventure, Sci-Fi",6.7,http://www.imdb.com/title/tt1872181/
2,The Shawshank Redemption,(1994),142 min,R,"Crime, Drama",9.3,http://www.imdb.com/title/tt0111161/
3,Star Wars: Episode IV - A New Hope,(1977),121 min,PG,"Action, Adventure, Fantasy",8.7,http://www.imdb.com/title/tt0076759/
4,Back to the Future,(1985),116 min,PG,"Adventure, Comedy, Sci-Fi",8.5,http://www.imdb.com/title/tt0088763/
5,The Breakfast Club,(1985),97 min,R,"Comedy, Drama",7.9,http://www.imdb.com/title/tt0088847/
6,The Goonies,(1985),114 min,PG,"Adventure, Comedy, Family",7.8,http://www.imdb.com/title/tt0089218/
7,The Silence of the Lambs,(1991),118 min,R,"Crime, Drama, Thriller",8.6,http://www.imdb.com/title/tt0102926/
8,Jurassic Park,(1993),127 min,PG-13,"Adventure, Sci-Fi, Thriller",8.1,http://www.imdb.com/title/tt0107290/
9,The Lion King,(1994),88 min,G,"Animation, Adventure, Drama",8.5,http://www.imdb.com/title/tt0110357/
10,Se7en,(1995),127 min,R,"Crime, Drama, Mystery",8.6,http://www.imdb.com/title/tt0114369/
11,Toy Story,(1995),81 min,G,"Animation, Adventure, Comedy",8.3,http://www.imdb.com/title/tt0114709/
12,The Big Lebowski,(1998),117 min,R,"Comedy, Crime",8.2,http://www.imdb.com/title/tt0118715/
13,Saving Private Ryan,(1998),169 min,R,"Drama, War",8.6,http://www.imdb.com/title/tt0120815/
14,Fight Club,(1999),139 min,R,Drama,8.8,http://www.imdb.com/title/tt0137523/
15,The Matrix,(1999),136 min,R,"Action, Sci-Fi",8.7,http://www.imdb.com/title/tt0133093/
16,Star Wars: Episode I - The Phantom Menace,(1999),136 min,PG,"Action, Adventure, Fantasy",6.5,http://www.imdb.com/title/tt0120915/
17,Gladiator,(2000),155 min,R,"Action, Adventure, Drama",8.5,http://www.imdb.com/title/tt0172495/
18,X-Men,(2000),104 min,PG-13,"Action, Adventure, Sci-Fi",7.4,http://www.imdb.com/title/tt0120903/
19,Harry Potter and the Sorcerer's Stone,(2001),152 min,PG,"Adventure, Family, Fantasy",7.6,http://www.imdb.com/title/tt0241527/
20,The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,PG-13,"Adventure, Drama, Fantasy",8.8,http://www.imdb.com/title/tt0120737/
21,The Lord of the Rings: The Two Towers,(2002),179 min,PG-13,"Adventure, Drama, Fantasy",8.7,http://www.imdb.com/title/tt0167261/
22,xXx,(2002),124 min,PG-13,"Action, Adventure, Thriller",5.8,http://www.imdb.com/title/tt0295701/
23,Finding Nemo,(2003),100 min,G,"Animation, Adventure, Comedy",8.1,http://www.imdb.com/title/tt0266543/
24,The Lord of the Rings: The Return of the King,(2003),201 min,PG-13,"Adventure, Drama, Fantasy",8.9,http://www.imdb.com/title/tt0167260/
25,Anchorman: The Legend of Ron Burgundy,(2004),94 min,PG-13,Comedy,7.2,http://www.imdb.com/title/tt0357413/
26,Mean Girls,(2004),97 min,PG-13,Comedy,7,http://www.imdb.com/title/tt0377092/
27,Sin City,(2005),124 min,R,"Crime, Thriller",8,http://www.imdb.com/title/tt0401792/
28,Star Wars: Episode III - Revenge of the Sith,(2005),140 min,PG-13,"Action, Adventure, Fantasy",7.6,http://www.imdb.com/title/tt0121766/
29,Batman Begins,(2005),140 min,PG-13,"Action, Adventure, Thriller",8.3,http://www.imdb.com/title/tt0372784/
30,The Departed,(2006),151 min,R,"Crime, Drama, Thriller",8.5,http://www.imdb.com/title/tt0407887/
31,The Prestige,(2006),130 min,PG-13,"Drama, Mystery, Sci-Fi",8.5,http://www.imdb.com/title/tt0482571/
32,V for Vendetta,(2005),132 min,R,"Action, Drama, Sci-Fi",8.2,http://www.imdb.com/title/tt0434409/
33,Casino Royale,(2006),144 min,PG-13,"Action, Adventure, Thriller",8,http://www.imdb.com/title/tt0381061/
34,Transformers,(2007),144 min,PG-13,"Action, Adventure, Sci-Fi",7.1,http://www.imdb.com/title/tt0418279/
35,The Dark Knight,(2008),152 min,PG-13,"Action, Crime, Drama",9,http://www.imdb.com/title/tt0468569/
36,Iron Man,(2008),126 min,PG-13,"Action, Adventure, Sci-Fi",7.9,http://www.imdb.com/title/tt0371746/
37,Quantum of Solace,(2008),106 min,PG-13,"Action, Adventure, Thriller",6.6,http://www.imdb.com/title/tt0830515/
38,Tropic Thunder,(2008),107 min,R,"Action, Comedy",7,http://www.imdb.com/title/tt0942385/
39,G.I. Joe: The Rise of Cobra,(2009),118 min,PG-13,"Action, Adventure, Sci-Fi",5.8,http://www.imdb.com/title/tt1046173/
40,The Hangover,(2009),100 min,R,Comedy,7.7,http://www.imdb.com/title/tt1119646/
41,Inglourious Basterds,(2009),153 min,R,"Adventure, Drama, War",8.3,http://www.imdb.com/title/tt0361748/
42,Star Trek,(2009),127 min,PG-13,"Action, Adventure, Sci-Fi",8,http://www.imdb.com/title/tt0796366/
43,Taken,(I) (2008),93 min,PG-13,"Action, Crime, Thriller",7.8,http://www.imdb.com/title/tt0936501/
44,Up,(2009),96 min,PG,"Animation, Adventure, Comedy",8.3,http://www.imdb.com/title/tt1049413/
45,X-Men Origins: Wolverine,(2009),107 min,PG-13,"Action, Adventure, Sci-Fi",6.7,http://www.imdb.com/title/tt0458525/
46,Zombieland,(2009),88 min,R,"Adventure, Comedy, Horror",7.7,http://www.imdb.com/title/tt1156398/
47,2012,(I) (2009),158 min,PG-13,"Action, Adventure, Sci-Fi",5.8,http://www.imdb.com/title/tt1190080/
48,Avatar,(2009),162 min,PG-13,"Action, Adventure, Fantasy",7.8,http://www.imdb.com/title/tt0499549/
49,Despicable Me,(2010),95 min,PG,"Animation, Adventure, Comedy",7.7,http://www.imdb.com/title/tt1323594/
50,Grown Ups,(I) (2010),102 min,PG-13,Comedy,6,http://www.imdb.com/title/tt1375670/
51,How to Train Your Dragon,(2010),98 min,PG,"Animation, Adventure, Comedy",8.1,http://www.imdb.com/title/tt0892769/
52,Inception,(2010),148 min,PG-13,"Action, Adventure, Sci-Fi",8.8,http://www.imdb.com/title/tt1375666/
53,Iron Man 2,(2010),124 min,PG-13,"Action, Adventure, Sci-Fi",7,http://www.imdb.com/title/tt1228705/
54,Kick-Ass,(2010),117 min,R,"Action, Comedy",7.7,http://www.imdb.com/title/tt1250777/
55,RED,(2010),111 min,PG-13,"Action, Comedy, Crime",7.1,http://www.imdb.com/title/tt1245526/
56,Shutter Island,(2010),138 min,R,"Mystery, Thriller",8.1,http://www.imdb.com/title/tt1130884/
57,Tron,(2010),125 min,PG,"Action, Adventure, Sci-Fi",6.8,http://www.imdb.com/title/tt1104001/
58,Toy Story 3,(2010),103 min,G,"Animation, Adventure, Comedy",8.3,http://www.imdb.com/title/tt0435761/
59,Drive,(I) (2011),100 min,R,"Crime, Drama",7.8,http://www.imdb.com/title/tt0780504/
60,Fast Five,(2011),130 min,PG-13,"Action, Crime, Thriller",7.3,http://www.imdb.com/title/tt1596343/
61,Harry Potter and the Deathly Hallows: Part 2,(2011),130 min,PG-13,"Adventure, Drama, Fantasy",8.1,http://www.imdb.com/title/tt1201607/
62,Limitless,(I) (2011),105 min,PG-13,"Mystery, Sci-Fi, Thriller",7.4,http://www.imdb.com/title/tt1219289/
63,Pirates of the Caribbean: On Stranger Tides,(2011),136 min,PG-13,"Action, Adventure, Fantasy",6.6,http://www.imdb.com/title/tt1298650/
64,X: First Class,(2011),131 min,PG-13,"Action, Adventure, Sci-Fi",7.8,http://www.imdb.com/title/tt1270798/
65,The Girl with the Dragon Tattoo,(2011),158 min,R,"Crime, Drama, Mystery",7.8,http://www.imdb.com/title/tt1568346/
66,The Help,(2011),146 min,PG-13,Drama,8.1,http://www.imdb.com/title/tt1454029/
67,In Time,(2011),109 min,PG-13,"Action, Sci-Fi, Thriller",6.7,http://www.imdb.com/title/tt1637688/
68,21 Jump Street,(2012),109 min,R,"Action, Comedy, Crime",7.2,http://www.imdb.com/title/tt1232829/
69,The Amazing Spider-Man,(2012),136 min,PG-13,"Action, Adventure, Sci-Fi",7,http://www.imdb.com/title/tt0948470/
70,American Reunion,(2012),113 min,R,Comedy,6.7,http://www.imdb.com/title/tt1605630/
71,The Avengers,(2012),143 min,PG-13,"Action, Adventure, Sci-Fi",8.1,http://www.imdb.com/title/tt0848228/
72,Battleship,(2012),131 min,PG-13,"Action, Adventure, Sci-Fi",5.8,http://www.imdb.com/title/tt1440129/
73,The Bourne Legacy,(2012),135 min,PG-13,"Action, Adventure, Mystery",6.7,http://www.imdb.com/title/tt1194173/
74,Brave,(2012),93 min,PG,"Animation, Adventure, Comedy",7.2,http://www.imdb.com/title/tt1217209/
75,The Cabin in the Woods,(2012),95 min,R,Horror,7,http://www.imdb.com/title/tt1259521/
76,The Campaign,(2012),85 min,R,Comedy,6.1,http://www.imdb.com/title/tt1790886/
77,Cloud Atlas,(2012),172 min,R,"Action, Drama, Mystery",7.5,http://www.imdb.com/title/tt1371111/
78,The Dark Knight Rises,(2012),164 min,PG-13,"Action, Thriller",8.4,http://www.imdb.com/title/tt1345836/
79,Dark Shadows,(2012),113 min,PG-13,"Comedy, Fantasy, Horror",6.2,http://www.imdb.com/title/tt1077368/
80,Django Unchained,(2012),165 min,R,"Drama, Western",8.4,http://www.imdb.com/title/tt1853728/
81,Dredd,(2012),95 min,R,"Action, Crime, Sci-Fi",7.1,http://www.imdb.com/title/tt1343727/
82,End of Watch,(2012),109 min,R,"Action, Crime, Drama",7.7,http://www.imdb.com/title/tt1855199/
83,The Expendables 2,(2012),103 min,R,"Action, Adventure, Thriller",6.6,http://www.imdb.com/title/tt1764651/
84,Flight,(I) (2012),138 min,R,"Drama, Thriller",7.3,http://www.imdb.com/title/tt1907668/
85,The Guilt Trip,(2012),95 min,PG-13,"Comedy, Drama",5.8,http://www.imdb.com/title/tt1694020/
86,Here Comes the Boom,(2012),105 min,PG,"Action, Comedy, Sport",6.4,http://www.imdb.com/title/tt1648179/
87,The Hobbit: An Unexpected Journey,(2012),169 min,PG-13,"Adventure, Family, Fantasy",7.9,http://www.imdb.com/title/tt0903624/
88,Hotel Transylvania,(2012),91 min,PG,"Animation, Comedy, Family",7.1,http://www.imdb.com/title/tt0837562/
89,Jack Reacher,(2012),130 min,PG-13,"Action, Crime, Mystery",7,http://www.imdb.com/title/tt0790724/
90,John Carter,(2012),132 min,PG-13,"Action, Adventure, Sci-Fi",6.6,http://www.imdb.com/title/tt0401729/
91,Killing Them Softly,(2012),97 min,R,"Crime, Thriller",6.2,http://www.imdb.com/title/tt1764234/
92,Lawless,(2012),116 min,R,"Crime, Drama",7.3,http://www.imdb.com/title/tt1212450/
93,Life of Pi,(2012),127 min,PG,"Adventure, Drama, Fantasy",7.9,http://www.imdb.com/title/tt0454876/
94,Looper,(2012),113 min,R,"Action, Crime, Drama",7.4,http://www.imdb.com/title/tt1276104/
95,Magic Mike,(2012),110 min,R,"Comedy, Drama",6.1,http://www.imdb.com/title/tt1915581/
96,Man on a Ledge,(2012),102 min,PG-13,"Action, Adventure, Crime",6.6,http://www.imdb.com/title/tt1568338/
97,The Man with the Iron Fists,(2012),95 min,R,Action,5.4,http://www.imdb.com/title/tt1258972/
98,The Master,(2012),138 min,R,Drama,7.1,http://www.imdb.com/title/tt1560747/
99,Men in Black 3,(2012),106 min,PG-13,"Action, Adventure, Comedy",6.8,http://www.imdb.com/title/tt1409024/
100,Parental Guidance,(2012),105 min,PG,"Comedy, Family",6.1,http://www.imdb.com/title/tt1047540/
101,Project X,(2012),88 min,R,"Comedy, Drama",6.7,http://www.imdb.com/title/tt1636826/
102,Prometheus,(I) (2012),124 min,R,"Adventure, Mystery, Sci-Fi",7,http://www.imdb.com/title/tt1446714/
103,Red Dawn,(2012),93 min,PG-13,"Action, Sci-Fi, Thriller",5.4,http://www.imdb.com/title/tt1234719/
104,Rise of the Guardians,(2012),97 min,PG,"Animation, Adventure, Family",7.3,http://www.imdb.com/title/tt1446192/
105,Savages,(2012),131 min,R,"Crime, Drama, Thriller",6.5,http://www.imdb.com/title/tt1615065/
106,Seven Psychopaths,(2012),110 min,R,"Comedy, Crime",7.2,http://www.imdb.com/title/tt1931533/
107,Sinister,(I) (2012),110 min,R,"Horror, Mystery, Thriller",6.8,http://www.imdb.com/title/tt1922777/
108,Skyfall,(2012),143 min,PG-13,"Action, Adventure, Thriller",7.8,http://www.imdb.com/title/tt1074638/
109,Snow White and the Huntsman,(2012),127 min,PG-13,"Action, Adventure, Drama",6.1,http://www.imdb.com/title/tt1735898/
110,Taken 2,(2012),92 min,PG-13,"Action, Crime, Thriller",6.3,http://www.imdb.com/title/tt1397280/
111,Ted,(2012),106 min,R,"Comedy, Fantasy",7,http://www.imdb.com/title/tt1637725/
112,That's My Boy,(2012),116 min,R,Comedy,5.6,http://www.imdb.com/title/tt1232200/
113,This Is 40,(2012),134 min,R,"Comedy, Romance",6.2,http://www.imdb.com/title/tt1758830/
114,Total Recall,(I) (2012),118 min,PG-13,"Action, Adventure, Mystery",6.3,http://www.imdb.com/title/tt1386703/
115,Promised Land,(2012),106 min,R,Drama,6.6,http://www.imdb.com/title/tt2091473/
116,Wreck-It Ralph,(2012),101 min,PG,"Animation, Adventure, Comedy",7.7,http://www.imdb.com/title/tt1772341/
117,Jack the Giant Slayer,(2013),114 min,PG-13,"Adventure, Fantasy",6.3,http://www.imdb.com/title/tt1351685/
118,Oz the Great and Powerful,(2013),130 min,PG,"Adventure, Family, Fantasy",6.3,http://www.imdb.com/title/tt1623205/
119,A Good Day to Die Hard,(2013),98 min,R,"Action, Thriller",5.3,http://www.imdb.com/title/tt1606378/
120,Trance,(I) (2013),101 min,R,"Crime, Drama, Mystery",6.9,http://www.imdb.com/title/tt1924429/
121,Side Effects,(I) (2013),106 min,R,"Crime, Drama, Thriller",7.1,http://www.imdb.com/title/tt2053463/
122,Spring Breakers,(2012),94 min,R,"Crime, Drama",5.3,http://www.imdb.com/title/tt2101441/
123,The Incredible Burt Wonderstone,(2013),100 min,PG-13,"Adventure, Comedy, Fantasy",5.9,http://www.imdb.com/title/tt0790628/
124,Disconnect,(I) (2012),115 min,R,"Drama, Thriller",7.6,http://www.imdb.com/title/tt1433811/
125,Mud,(2012),130 min,PG-13,Drama,7.4,http://www.imdb.com/title/tt1935179/
126,The Company You Keep,(2012),125 min,R,"Drama, Thriller",6.4,http://www.imdb.com/title/tt1381404/
127,Olympus Has Fallen,(2013),119 min,R,"Action, Drama, Thriller",6.5,http://www.imdb.com/title/tt2302755/
128,The Place Beyond the Pines,(2012),140 min,R,"Crime, Drama, Thriller",7.3,http://www.imdb.com/title/tt1817273/
129,G.I. Joe: Retaliation,(2013),110 min,PG-13,"Action, Adventure, Sci-Fi",5.8,http://www.imdb.com/title/tt1583421/
130,The Croods,(2013),98 min,PG,"Animation, Adventure, Comedy",7.2,http://www.imdb.com/title/tt0481499/
131,A Haunted House,(2013),86 min,R,"Comedy, Fantasy",5.1,http://www.imdb.com/title/tt2243537/
132,World War Z,(2013),116 min,PG-13,"Action, Adventure, Horror",7,http://www.imdb.com/title/tt0816711/
133,Oblivion,(I) (2013),124 min,PG-13,"Action, Adventure, Mystery",7,http://www.imdb.com/title/tt1483013/
134,Ender's Game,(2013),114 min,PG-13,"Action, Fantasy, Sci-Fi",6.7,http://www.imdb.com/title/tt1731141/
135,The Hobbit: The Desolation of Smaug,(2013),161 min,PG-13,"Adventure, Fantasy",7.9,http://www.imdb.com/title/tt1170358/
136,Man of Steel,(2013),143 min,PG-13,"Action, Adventure, Fantasy",7.1,http://www.imdb.com/title/tt0770828/
137,Pacific Rim,(2013),131 min,PG-13,"Action, Adventure, Sci-Fi",7,http://www.imdb.com/title/tt1663662/
138,The Hunger Games: Catching Fire,(2013),146 min,PG-13,"Action, Adventure, Mystery",7.5,http://www.imdb.com/title/tt1951264/
139,The Lone Ranger,(2013),150 min,PG-13,"Action, Adventure, Western",6.5,http://www.imdb.com/title/tt1210819/
140,The Wolverine,(2013),126 min,PG-13,"Action, Adventure, Sci-Fi",6.7,http://www.imdb.com/title/tt1430132/
141,Elysium,(I) (2013),109 min,R,"Action, Drama, Sci-Fi",6.6,http://www.imdb.com/title/tt1535108/
142,After Earth,(2013),100 min,PG-13,"Action, Adventure, Sci-Fi",4.9,http://www.imdb.com/title/tt1815862/
143,Iron Man Three,(2013),130 min,PG-13,"Action, Adventure, Sci-Fi",7.2,http://www.imdb.com/title/tt1300854/
144,This Is the End,(2013),107 min,R,"Comedy, Fantasy",6.6,http://www.imdb.com/title/tt1245492/
145,R.I.P.D.,(2013),96 min,PG-13,"Action, Adventure, Comedy",5.6,http://www.imdb.com/title/tt0790736/
146,Thor: The Dark World,(2013),112 min,PG-13,"Action, Adventure, Sci-Fi",7,http://www.imdb.com/title/tt1981115/
147,Star Trek: Into Darkness,(2013),132 min,PG-13,"Action, Adventure, Sci-Fi",7.8,http://www.imdb.com/title/tt1408101/
148,Now You See Me,(I) (2013),115 min,PG-13,"Crime, Mystery, Thriller",7.3,http://www.imdb.com/title/tt1670345/
149,The Hangover Part III,(2013),100 min,R,"Comedy, Crime",5.9,http://www.imdb.com/title/tt1951261/
150,Kick-Ass 2,(2013),103 min,R,"Action, Comedy, Crime",6.6,http://www.imdb.com/title/tt1650554/
151,The Lords of Salem,(2012),101 min,R,"Horror, Thriller",5.1,http://www.imdb.com/title/tt1731697/
152,Iron Sky,(2012),93 min,R,"Action, Comedy, Sci-Fi",5.9,http://www.imdb.com/title/tt1034314/
153,The Impossible,(2012),114 min,PG-13,"Drama, Thriller",7.6,http://www.imdb.com/title/tt1649419/
154,Filly Brown,(2012),80 min,R,"Drama, Music",5.7,http://www.imdb.com/title/tt1869425/
155,Antiviral,(2012),108 min,Not Rated,"Horror, Sci-Fi, Thriller",5.7,http://www.imdb.com/title/tt2099556/
156,Anna Karenina,(I) (2012),129 min,R,"Drama, Romance",6.6,http://www.imdb.com/title/tt1781769/
157,The Cloth,(2013),88 min,Not Rated,"Action, Fantasy, Horror",2.7,http://www.imdb.com/title/tt2088923/
158,What Richard Did,(2012),88 min,TV-MA,Drama,6.3,http://www.imdb.com/title/tt2092011/
159,Stand Up Guys,(2012),95 min,R,"Comedy, Crime, Thriller",6.5,http://www.imdb.com/title/tt1389096/
160,Tomorrow You're Gone,(2012),93 min,Not Rated,Thriller,3.8,http://www.imdb.com/title/tt1838475/
161,Not Fade Away,(2012),112 min,R,Drama,6,http://www.imdb.com/title/tt1230215/
162,Any Day Now,(I) (2012),98 min,R,Drama,7.5,http://www.imdb.com/title/tt2066176/
163,Under the Bed,(I) (2012),87 min,R,Horror,4.6,http://www.imdb.com/title/tt1934458/
164,The Outback,(2012),85 min,PG,"Animation, Adventure, Family",4.7,http://www.imdb.com/title/tt1867086/
165,The Boondock Saints,(1999),108 min,R,"Action, Crime, Thriller",7.9,http://www.imdb.com/title/tt0144117/
166,The Evil Dead,(1981),85 min,NC-17,Horror,7.5,http://www.imdb.com/title/tt0083907/
167,42,(2013),128 min,PG-13,"Biography, Drama, Sport",7.5,http://www.imdb.com/title/tt0453562/
168,Evil Dead,(2013),91 min,R,"Fantasy, Horror, Thriller",6.5,http://www.imdb.com/title/tt1288558/
169,Scary Movie 5,(2013),86 min,PG-13,Comedy,3.5,http://www.imdb.com/title/tt0795461/
170,Broken City,(2013),109 min,R,"Crime, Drama, Thriller",6.2,http://www.imdb.com/title/tt1235522/
171,Gangster Squad,(2013),113 min,R,"Action, Crime, Drama",6.7,http://www.imdb.com/title/tt1321870/
172,Furious 6,(2013),130 min,PG-13,"Action, Crime, Thriller",7.1,http://www.imdb.com/title/tt1905041/
173,Pain & Gain,(2013),129 min,R,"Action, Comedy, Crime",6.4,http://www.imdb.com/title/tt1980209/
174,The Numbers Station,(2013),89 min,R,"Action, Thriller",5.6,http://www.imdb.com/title/tt1659338/
175,Mama,(I) (2013),100 min,PG-13,"Horror, Thriller",6.2,http://www.imdb.com/title/tt2023587/
176,Pawn,(I) (2013),88 min,R,"Action, Crime, Mystery",5.7,http://www.imdb.com/title/tt1551630/
177,300: Rise of an Empire,(2014),102 min,R,"Action, Fantasy",6.2,http://www.imdb.com/title/tt1253863/
178,Temptation: Confessions of a Marriage Counselor,(2013),111 min,PG-13,"Drama, Thriller",5,http://www.imdb.com/title/tt2070862/
179,The Way Way Back,(2013),103 min,PG-13,"Comedy, Drama",7.4,http://www.imdb.com/title/tt1727388/
180,Grown Ups 2,(2013),101 min,PG-13,Comedy,5.4,http://www.imdb.com/title/tt2191701/
181,Dark Skies,(2013),97 min,PG-13,"Horror, Sci-Fi, Thriller",6.3,http://www.imdb.com/title/tt2387433/
182,Assassins Run,(2013),88 min,R,"Action, Crime, Thriller",4.3,http://www.imdb.com/title/tt1502417/
183,Percy Jackson: Sea of Monsters,(2013),106 min,PG,"Adventure, Family, Fantasy",5.9,http://www.imdb.com/title/tt1854564/
184,The Bling Ring,(2013),90 min,R,"Biography, Crime, Drama",5.6,http://www.imdb.com/title/tt2132285/
185,Identity Thief,(2013),111 min,R,"Comedy, Crime",5.7,http://www.imdb.com/title/tt2024432/
186,The Big Wedding,(2013),89 min,R,"Comedy, Drama, Romance",5.6,http://www.imdb.com/title/tt1931435/
187,Welcome to the Punch,(2013),99 min,R,"Action, Crime, Thriller",6.1,http://www.imdb.com/title/tt1684233/
188,Only God Forgives,(2013),90 min,R,"Crime, Drama",5.7,http://www.imdb.com/title/tt1602613/
189,Devils of War,(2013),74 min,Not Rated,"Action, Horror",2,http://www.imdb.com/title/tt2675318/
190,Movie 43,(2013),94 min,R,"Comedy, Romance",4.3,http://www.imdb.com/title/tt1333125/
191,The Haunting in Connecticut 2: Ghosts of Georgia,(2013),100 min,R,"Drama, Horror, Mystery",5.3,http://www.imdb.com/title/tt1457765/
192,The Call,(II) (2013),94 min,R,"Crime, Thriller",6.7,http://www.imdb.com/title/tt1911644/
193,Crush,(II) (2013),94 min,PG-13,"Horror, Thriller",5.7,http://www.imdb.com/title/tt2093977/
194,Hansel & Gretel: Witch Hunters,(2013),88 min,R,"Action, Fantasy, Horror",6.1,http://www.imdb.com/title/tt1428538/
195,The Purge,(I) (2013),85 min,R,"Horror, Sci-Fi, Thriller",5.7,http://www.imdb.com/title/tt2184339/
196,Snitch,(I) (2013),112 min,PG-13,"Action, Drama, Thriller",6.5,http://www.imdb.com/title/tt0882977/
197,The Godfather: Part II,(1974),202 min,R,"Crime, Drama",9,http://www.imdb.com/title/tt0071562/
198,One Flew Over the Cuckoo's Nest,(1975),133 min,R,Drama,8.7,http://www.imdb.com/title/tt0073486/
199,Star Wars: Episode V - The Empire Strikes Back,(1980),124 min,PG,"Action, Adventure, Fantasy",8.8,http://www.imdb.com/title/tt0080684/
200,Raiders of the Lost Ark,(1981),115 min,PG,"Action, Adventure",8.5,http://www.imdb.com/title/tt0082971/
201,Apocalypse Now,(1979),147 min,R,"Drama, War",8.5,http://www.imdb.com/title/tt0078788/
202,Alien,(1979),117 min,R,"Horror, Sci-Fi",8.5,http://www.imdb.com/title/tt0078748/
203,Blade Runner,(1982),117 min,R,"Sci-Fi, Thriller",8.2,http://www.imdb.com/title/tt0083658/
204,E.T. the Extra-Terrestrial,(1982),115 min,PG,"Family, Sci-Fi",7.9,http://www.imdb.com/title/tt0083866/
205,The Outsiders,(1983),91 min,PG,"Crime, Drama",7.2,http://www.imdb.com/title/tt0086066/
206,Scarface,(1983),170 min,R,"Crime, Drama",8.3,http://www.imdb.com/title/tt0086250/
207,Star Wars: Episode VI - Return of the Jedi,(1983),131 min,PG,"Action, Adventure, Fantasy",8.4,http://www.imdb.com/title/tt0086190/
208,Ghostbusters,(1984),105 min,PG,"Action, Adventure, Comedy",7.8,http://www.imdb.com/title/tt0087332/
209,Red Dawn,(1984),114 min,PG-13,"Action, Drama",6.4,http://www.imdb.com/title/tt0087985/
210,The Terminator,(1984),107 min,R,"Action, Sci-Fi",8,http://www.imdb.com/title/tt0088247/
211,Full Metal Jacket,(1987),116 min,R,"Drama, War",8.3,http://www.imdb.com/title/tt0093058/
212,Die Hard,(1988),132 min,R,"Action, Thriller",8.2,http://www.imdb.com/title/tt0095016/
213,Léon: The Professional,(1994),110 min,R,"Crime, Drama, Thriller",8.6,http://www.imdb.com/title/tt0110413/
214,The Usual Suspects,(1995),106 min,R,"Crime, Drama, Mystery",8.6,http://www.imdb.com/title/tt0114814/
215,Heat,(1995),170 min,R,"Action, Crime, Drama",8.2,http://www.imdb.com/title/tt0113277/
216,Independence Day,(1996),145 min,PG-13,"Action, Adventure, Sci-Fi",7,http://www.imdb.com/title/tt0116629/
217,Good Will Hunting,(1997),126 min,R,Drama,8.3,http://www.imdb.com/title/tt0119217/
218,Armageddon,(1998),151 min,PG-13,"Action, Adventure, Sci-Fi",6.6,http://www.imdb.com/title/tt0120591/
219,The Truman Show,(1998),103 min,PG,"Comedy, Drama, Sci-Fi",8.1,http://www.imdb.com/title/tt0120382/
220,American Beauty,(1999),122 min,R,Drama,8.4,http://www.imdb.com/title/tt0169547/
221,Big Daddy,(1999),93 min,PG-13,"Comedy, Drama",6.4,http://www.imdb.com/title/tt0142342/
222,The Green Mile,(1999),189 min,R,"Crime, Drama, Fantasy",8.5,http://www.imdb.com/title/tt0120689/
223,The Mummy,(1999),124 min,PG-13,"Action, Adventure, Fantasy",7,http://www.imdb.com/title/tt0120616/
224,Office Space,(1999),89 min,R,Comedy,7.8,http://www.imdb.com/title/tt0151804/
225,The Sixth Sense,(1999),107 min,PG-13,"Drama, Mystery, Thriller",8.1,http://www.imdb.com/title/tt0167404/
226,Toy Story 2,(1999),92 min,G,"Animation, Adventure, Comedy",7.9,http://www.imdb.com/title/tt0120363/
227,American Psycho,(2000),102 min,R,"Crime, Drama",7.6,http://www.imdb.com/title/tt0144084/
228,Scary Movie,(2000),88 min,R,Comedy,6.2,http://www.imdb.com/title/tt0175142/
229,Snatch,(2000),102 min,R,"Comedy, Crime",8.3,http://www.imdb.com/title/tt0208092/
230,"Monsters, Inc.",(2001),92 min,G,"Animation, Adventure, Comedy",8.1,http://www.imdb.com/title/tt0198781/
231,Men in Black II,(2002),88 min,PG-13,"Action, Adventure, Comedy",6.1,http://www.imdb.com/title/tt0120912/
232,Red Dragon,(2002),124 min,R,"Crime, Drama, Thriller",7.2,http://www.imdb.com/title/tt0289765/
233,Spider-Man,(2002),121 min,PG-13,"Action, Adventure, Sci-Fi",7.3,http://www.imdb.com/title/tt0145487/
234,Spirited Away,(2001),125 min,PG,"Animation, Adventure, Family",8.6,http://www.imdb.com/title/tt0245429/
235,Star Wars: Episode II - Attack of the Clones,(2002),142 min,PG,"Action, Adventure, Fantasy",6.6,http://www.imdb.com/title/tt0121765/
236,The Italian Job,(2003),111 min,PG-13,"Action, Crime, Thriller",7,http://www.imdb.com/title/tt0317740/
237,The Matrix Reloaded,(2003),138 min,R,"Action, Sci-Fi",7.2,http://www.imdb.com/title/tt0234215/
238,Pirates of the Caribbean: The Curse of the Black Pearl,(2003),143 min,PG-13,"Action, Adventure, Fantasy",8,http://www.imdb.com/title/tt0325980/
239,Big Fish,(2003),125 min,PG-13,"Adventure, Drama, Fantasy",8,http://www.imdb.com/title/tt0319061/
240,Kill Bill: Vol. 1,(2003),111 min,R,"Action, Crime, Thriller",8.1,http://www.imdb.com/title/tt0266697/
241,Dodgeball: A True Underdog Story,(2004),92 min,PG-13,"Comedy, Sport",6.7,http://www.imdb.com/title/tt0364725/
242,EuroTrip,(2004),92 min,R,Comedy,6.6,http://www.imdb.com/title/tt0356150/
